,author,authorData,downloads,gated,id,availableInferenceProviders,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,numParameters,sizes,min_size,max_size,trending,mined_date
0,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1098, 'isUserFollowing': False}",14451794,False,nomic-ai/nomic-embed-text-v1.5,[],2026-04-07T14:17:02.000Z,808,sentence-similarity,False,model,False,[],136731648.0,547MBxet | 158MBxet | 274MBxet | 137MBxet | 165MBxet | 111MBxet | 137MBxet | 137MBxet,116391936.0,573571072.0,1,30-04-2026
1,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1098, 'isUserFollowing': False}",6816662,False,nomic-ai/nomic-embed-text-v1,[],2026-04-07T14:16:41.000Z,565,sentence-similarity,False,model,False,[],136731648.0,548MBxet | 138MBxet,144703488.0,574619648.0,2,30-04-2026
2,onnx-community,"{'_id': '6650b4b7edd332b9444083a4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/BpiYJ-m5mXPXfjkzEt6yZ.png', 'fullname': 'ONNX Community', 'name': 'onnx-community', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1843, 'isUserFollowing': False}",65662,False,onnx-community/embeddinggemma-300m-ONNX,[],2025-09-04T15:43:56.000Z,65,sentence-similarity,False,model,False,[],,480kBxet | 655kBxet | 529kBxet | 519kBxet | 705kBxet | 568kBxet,491520.0,721920.0,3,30-04-2026
3,onnx-community,"{'_id': '6650b4b7edd332b9444083a4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/BpiYJ-m5mXPXfjkzEt6yZ.png', 'fullname': 'ONNX Community', 'name': 'onnx-community', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1843, 'isUserFollowing': False}",1621,False,onnx-community/harrier-oss-v1-0.6b-ONNX,[],2026-04-10T14:30:56.000Z,4,feature-extraction,False,model,False,,,300kBxet | 287kBxet | 389kBxet | 377kBxet | 394kBxet,293888.0,403456.0,4,30-04-2026
4,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1782, 'isUserFollowing': False}",565166,False,jinaai/jina-embeddings-v2-base-de,[],2025-01-06T16:26:47.000Z,83,feature-extraction,False,model,False,,160813824.0,641MBxet | 321MBxet | 162MBxet,169869312.0,672137216.0,5,30-04-2026
5,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 740, 'isUserFollowing': False}",583143,False,Snowflake/snowflake-arctic-embed-m,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'Snowflake/snowflake-arctic-embed-m', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2024-12-13T20:51:22.000Z,165,sentence-similarity,False,model,False,[],108891648.0,436MBxet | 144MBxet | 218MBxet | 110MBxet | 149MBxet | 110MBxet | 110MBxet,115343360.0,457179136.0,6,30-04-2026
6,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 740, 'isUserFollowing': False}",290127,False,Snowflake/snowflake-arctic-embed-m-v1.5,[],2025-04-24T17:36:32.000Z,71,sentence-similarity,False,model,False,[],108891648.0,436MBxet | 144MBxet | 218MBxet | 110MBxet | 149MBxet | 110MBxet | 110MBxet,115343360.0,457179136.0,7,30-04-2026
7,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1782, 'isUserFollowing': False}",157144,False,jinaai/jina-clip-v2,[],2026-04-08T14:03:45.000Z,331,feature-extraction,False,model,False,,865278476.0,2.09MBxet | 1.38GBxet | 1.73GBxet | 874MBxet | 1.42GBxet | 861MBxet | 874MBxet | 874MBxet,2191523.84,1857573355.52,8,30-04-2026
8,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 740, 'isUserFollowing': False}",821944,False,Snowflake/snowflake-arctic-embed-l-v2.0,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'Snowflake/snowflake-arctic-embed-l-v2.0', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-07-28T14:00:58.000Z,241,sentence-similarity,False,model,False,,567754752.0,702kBxet | 452kBxet | 1.23GBxet | 1.13GBxet | 570MBxet | 1.25GBxet | 700MBxet | 570MBxet | 570MBxet,462848.0,1342177280.0,9,30-04-2026
9,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1098, 'isUserFollowing': False}",218388,False,nomic-ai/modernbert-embed-base,[],2025-01-24T15:31:46.000Z,230,sentence-similarity,False,model,False,[],,596MBxet | 217MBxet | 298MBxet | 150MBxet | 224MBxet | 140MBxet | 150MBxet | 150MBxet,146800640.0,624951296.0,10,30-04-2026
10,lightonai,"{'_id': '6271618b3623fb51324c461e', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/1651597775471-62715572ab9243b5d40cbb1d.png', 'fullname': 'LightOn AI', 'name': 'lightonai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 641, 'isUserFollowing': False}",8502,False,lightonai/modernbert-embed-large,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'lightonai/modernbert-embed-large', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-05-14T15:22:14.000Z,33,sentence-similarity,False,model,False,[],394781696.0,1.58GBxet | 400MBxet | 790MBxet | 397MBxet | 421MBxet | 297MBxet | 397MBxet | 397MBxet,311427072.0,1696512081.92,11,30-04-2026
11,onnx-community,"{'_id': '6650b4b7edd332b9444083a4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/BpiYJ-m5mXPXfjkzEt6yZ.png', 'fullname': 'ONNX Community', 'name': 'onnx-community', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1843, 'isUserFollowing': False}",51,False,onnx-community/kyutai-mimi-ONNX,[],2025-03-01T22:20:03.000Z,5,feature-extraction,False,model,False,,,228MBxet | 142MBxet | 114MBxet | 88.5MBxet | 143MBxet | 78.1MBxet | 88.5MBxet | 88.5MBxet | 287MBxet | 200MBxet | 144MBxet | 123MBxet | 202MBxet | 108MBxet | 123MBxet | 123MBxet,81893785.6,300941312.0,12,30-04-2026
12,onnx-community,"{'_id': '6650b4b7edd332b9444083a4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/BpiYJ-m5mXPXfjkzEt6yZ.png', 'fullname': 'ONNX Community', 'name': 'onnx-community', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1843, 'isUserFollowing': False}",24,False,onnx-community/ruri-v3-310m-ONNX,[],2026-04-24T21:26:19.000Z,1,sentence-similarity,False,model,False,[],,1.26GBxet | 463MBxet | 630MBxet | 316MBxet | 463MBxet | 291MBxet | 316MBxet | 316MBxet,305135616.0,1352914698.24,13,30-04-2026
13,mixedbread-ai,"{'_id': '6579b8e83db8c022afd86d63', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 377, 'isUserFollowing': False}",4359154,False,mixedbread-ai/mxbai-embed-large-v1,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'mixedbread-ai/mxbai-embed-large-v1', 'task': 'feature-extraction', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2026-01-23T11:59:58.000Z,788,feature-extraction,False,model,False,,335141888.0,1.34GBxet | 669MBxet | 337MBxet,353370112.0,1438814044.16,14,30-04-2026
14,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7930, 'isUserFollowing': False}",3185078,False,Xenova/all-MiniLM-L6-v2,[],2025-07-22T16:42:24.000Z,114,feature-extraction,False,model,False,,,90.4MBxet | 53.9MBxet | 45.3MBxet | 23MBxet | 54.6MBxet | 30MBxet | 23MBxet | 22.8MBxet,23907532.8,94791270.4,15,30-04-2026
15,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7930, 'isUserFollowing': False}",37,False,Xenova/paraphrase-albert-small-v2,[],2025-07-22T00:08:32.000Z,0,feature-extraction,False,model,False,,,44.6MBxet | 19.9MBxet | 22.4MBxet | 11.4MBxet | 20.4MBxet | 12.1MBxet | 39.7MBxet | 11.4MBxet,11953766.4,46766489.6,16,30-04-2026
16,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7930, 'isUserFollowing': False}",30,False,Xenova/paraphrase-albert-base-v2,[],2025-07-22T00:08:28.000Z,0,feature-extraction,False,model,False,,,44.7MBxet | 20.1MBxet | 22.7MBxet | 11.6MBxet | 20.5MBxet | 12.3MBxet | 40MBxet | 11.6MBxet,12163481.6,46871347.2,17,30-04-2026
17,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7930, 'isUserFollowing': False}",20,False,Xenova/squeezebert-uncased,[],2025-07-22T00:08:24.000Z,0,feature-extraction,False,model,False,,,202MBxet | 202MBxet | 101MBxet | 202MBxet | 101MBxet | 51.2MBxet | 51.2MBxet,53687091.2,211812352.0,18,30-04-2026
18,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7930, 'isUserFollowing': False}",25,False,Xenova/squeezebert-mnli,[],2025-07-22T00:08:18.000Z,0,feature-extraction,False,model,False,,,202MBxet | 202MBxet | 101MBxet | 202MBxet | 101MBxet | 51.3MBxet | 51.2MBxet,53687091.2,211812352.0,19,30-04-2026
