,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
12,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",10901,False,nomic-ai/nomic-embed-text-v1-unsupervised,ExplicitOptOut,2024-05-02T15:36:53.000Z,11,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,13,16-07-2024
13,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",47440,False,Snowflake/snowflake-arctic-embed-m,NotPopularEnough,2024-05-10T15:49:33.000Z,105,sentence-similarity,False,model,False,436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,14,16-07-2024
14,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",17704,False,Snowflake/snowflake-arctic-embed-m-long,NotSupported_CustomCode,2024-05-10T15:50:08.000Z,30,sentence-similarity,False,model,False,548MB | 158MB | 274MB | 138MB | 165MB | 138MB | 138MB,144703488.0,574619648.0,15,16-07-2024
15,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",27890,False,Snowflake/snowflake-arctic-embed-l,NotPopularEnough,2024-05-10T15:51:18.000Z,75,sentence-similarity,False,model,False,1.34GB | 299MB | 669MB | 337MB | 318MB | 337MB | 337MB,313524224.0,1438814044.16,16,16-07-2024
16,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",12067,False,jinaai/jina-reranker-v1-turbo-en,NotSupported_CustomCode,2024-06-20T06:50:44.000Z,43,text-classification,False,model,False,151MB | 103MB | 75.8MB | 38.3MB | 104MB | 38.3MB | 38.3MB,40160460.8,158334976.0,17,16-07-2024
17,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",9,False,Xenova/paraphrase-albert-small-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:05.000Z,0,feature-extraction,False,model,False,44.6MB | 22.4MB | 39.7MB,23488102.4,46766489.6,18,16-07-2024
18,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",7,False,Xenova/paraphrase-albert-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:10.000Z,0,feature-extraction,False,model,False,44.7MB | 22.7MB | 40MB,23802675.2,46871347.2,19,16-07-2024
19,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/squeezebert-uncased,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:18.000Z,0,feature-extraction,False,model,False,202MB | 101MB | 51.2MB,53687091.2,211812352.0,20,16-07-2024
20,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/squeezebert-mnli,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:25.000Z,0,feature-extraction,False,model,False,202MB | 101MB | 51.3MB,53791948.8,211812352.0,21,16-07-2024
21,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",13,False,Xenova/all-distilroberta-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:16:50.000Z,0,feature-extraction,False,model,False,326MB | 163MB | 82.1MB,86088089.6,341835776.0,22,16-07-2024
