,author,authorData,downloads,gated,id,availableInferenceProviders,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,numParameters,sizes,min_size,max_size,trending,mined_date
0,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7327}",828135,False,Xenova/all-MiniLM-L6-v2,[],2025-07-22T16:42:24.000Z,92,feature-extraction,False,model,False,,,90.4MB | 53.9MB | 45.3MB | 23MB | 54.6MB | 30MB | 23MB | 22.8MB,23907532.8,94791270.4,1,16-12-2025
1,MongoDB,"{'_id': '65aedc7d308fc2952b2e1ecb', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/65ae9f0d22762a684e5c87ad/OevwtsBsDoNbVcEnCa_Al.png', 'fullname': 'MongoDB', 'name': 'MongoDB', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 167}",3625,False,MongoDB/mdbr-leaf-ir,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'MongoDB/mdbr-leaf-ir', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-09-29T23:58:02.000Z,31,sentence-similarity,False,model,False,[],22565376.0,60.9kB | 101kB | 74.1kB | 114kB | 221kB,62361.6,226304.0,2,16-12-2025
2,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 987}",754074,False,nomic-ai/nomic-embed-text-v1,[],2025-03-31T17:40:51.000Z,547,sentence-similarity,False,model,False,[],136731648.0,548MB | 138MB,144703488.0,574619648.0,3,16-12-2025
3,mixedbread-ai,"{'_id': '6579b8e83db8c022afd86d63', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 306}",2248316,False,mixedbread-ai/mxbai-embed-large-v1,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'mixedbread-ai/mxbai-embed-large-v1', 'task': 'feature-extraction', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-03-13T04:15:03.000Z,746,feature-extraction,False,model,False,,335141888.0,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,4,16-12-2025
4,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 1513}",3942,False,jinaai/jina-reranker-v1-tiny-en,[],2025-09-10T09:51:37.000Z,24,text-ranking,False,model,False,,33046273.0,132MB | 99.9MB | 66.3MB | 33.4MB | 101MB | 33.4MB | 33.4MB,35022438.4,138412032.0,5,16-12-2025
5,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7327}",1460,False,Xenova/multilingual-e5-large,[],2025-03-06T21:51:30.000Z,12,feature-extraction,False,model,False,,,546kB | 1.12GB | 562MB,559104.0,1202590842.88,6,16-12-2025
6,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7327}",9418,False,Xenova/gte-small,[],2025-07-22T00:03:01.000Z,23,feature-extraction,False,model,False,,,133MB | 60.1MB | 66.7MB | 33.8MB | 61.5MB | 36.2MB | 34MB | 33.8MB,35441868.8,139460608.0,7,16-12-2025
7,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7327}",459,False,Xenova/bge-small-zh-v1.5,[],2025-07-22T16:45:56.000Z,2,feature-extraction,False,model,False,,,94.9MB | 51.6MB | 47.5MB | 23.9MB | 52.4MB | 29.4MB | 24MB | 23.9MB,25060966.4,99509862.4,8,16-12-2025
8,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 1513}",71809,False,jinaai/jina-embeddings-v2-base-code,[],2025-01-06T16:28:09.000Z,126,feature-extraction,False,model,False,,160869120.0,642MB | 321MB | 162MB,169869312.0,673185792.0,9,16-12-2025
9,Cohee,"{'_id': '63170aab3eb2544b6235fc5e', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/1678743727728-63170aab3eb2544b6235fc5e.png', 'fullname': 'Cohee', 'name': 'Cohee', 'type': 'user', 'isPro': False, 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 6}",1844,False,Cohee/jina-embeddings-v2-base-en,[],2024-10-08T16:14:09.000Z,3,feature-extraction,False,model,False,,,434MB | 217MB | 109MB,114294784.0,455081984.0,10,16-12-2025
