,author,authorData,downloads,gated,id,availableInferenceProviders,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,numParameters,sizes,min_size,max_size,trending,mined_date
0,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 700, 'isUserFollowing': False}",1673634,False,Snowflake/snowflake-arctic-embed-l-v2.0,[],2025-07-28T14:00:58.000Z,230,sentence-similarity,False,model,False,,,702kB | 452kB | 1.23GB | 1.13GB | 570MB | 1.25GB | 700MB | 570MB | 570MB,462848.0,1342177280.0,1,17-02-2026
1,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1033, 'isUserFollowing': False}",3944404,False,nomic-ai/nomic-embed-text-v1.5,[],2025-07-21T17:44:14.000Z,771,sentence-similarity,False,model,False,[],,547MB | 158MB | 274MB | 137MB | 165MB | 111MB | 137MB | 137MB,116391936.0,573571072.0,2,17-02-2026
2,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1624, 'isUserFollowing': False}",149759,False,jinaai/jina-embeddings-v2-base-code,[],2025-01-06T16:28:09.000Z,134,feature-extraction,False,model,False,,160869120.0,642MB | 321MB | 162MB,169869312.0,673185792.0,3,17-02-2026
3,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7564, 'isUserFollowing': False}",1176533,False,Xenova/all-MiniLM-L6-v2,[],2025-07-22T16:42:24.000Z,101,feature-extraction,False,model,False,,,90.4MB | 53.9MB | 45.3MB | 23MB | 54.6MB | 30MB | 23MB | 22.8MB,23907532.8,94791270.4,4,17-02-2026
4,Supabase,"{'_id': '645b4cea08d9a18f91e9b8e5', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63267719ff539edeea96336a/I4961jNG67wvlqZP1swzQ.png', 'fullname': 'Supabase', 'name': 'Supabase', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 57, 'isUserFollowing': False}",738510,False,Supabase/gte-small,[],2024-03-18T18:02:53.000Z,100,feature-extraction,False,model,False,,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,5,17-02-2026
5,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1033, 'isUserFollowing': False}",2713393,False,nomic-ai/nomic-embed-text-v1,[],2025-03-31T17:40:51.000Z,553,sentence-similarity,False,model,False,[],,548MB | 138MB,144703488.0,574619648.0,6,17-02-2026
6,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7564, 'isUserFollowing': False}",22613,False,Xenova/bge-m3,[],2026-02-10T19:47:18.000Z,41,feature-extraction,False,model,False,,,607kB | 1.23GB | 1.13GB | 568MB | 1.25GB | 700MB | 570MB | 568MB,621568.0,1342177280.0,7,17-02-2026
7,mixedbread-ai,"{'_id': '6579b8e83db8c022afd86d63', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 344, 'isUserFollowing': False}",1536946,False,mixedbread-ai/mxbai-embed-large-v1,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'mixedbread-ai/mxbai-embed-large-v1', 'task': 'feature-extraction', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2026-01-23T11:59:58.000Z,767,feature-extraction,False,model,False,,335141888.0,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,8,17-02-2026
8,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 700, 'isUserFollowing': False}",41871,False,Snowflake/snowflake-arctic-embed-s,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'Snowflake/snowflake-arctic-embed-s', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2024-12-04T16:58:54.000Z,24,sentence-similarity,False,model,False,[],33212160.0,133MB | 60.1MB | 66.7MB | 34MB | 61.4MB | 34MB | 34MB,35651584.0,139460608.0,9,17-02-2026
9,corto-ai,"{'_id': '6571022423363fa194bd1893', 'avatarUrl': 'https://www.gravatar.com/avatar/5208f74272f9abce14ac985974823387?d=retro&size=100', 'fullname': 'Corto', 'name': 'corto-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 16, 'isUserFollowing': False}",1766,False,corto-ai/nomic-embed-text-v1,[],2024-05-06T05:18:56.000Z,3,sentence-similarity,False,model,False,[],136731648.0,548MB | 138MB,144703488.0,574619648.0,10,17-02-2026
