,author,authorData,downloads,gated,id,availableInferenceProviders,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,numParameters,sizes,min_size,max_size,trending,mined_date
0,MongoDB,"{'_id': '65aedc7d308fc2952b2e1ecb', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/65ae9f0d22762a684e5c87ad/OevwtsBsDoNbVcEnCa_Al.png', 'fullname': 'MongoDB', 'name': 'MongoDB', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 170}",4904,False,MongoDB/mdbr-leaf-ir,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'MongoDB/mdbr-leaf-ir', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-09-29T23:58:02.000Z,36,sentence-similarity,False,model,False,[],22565376.0,60.9kB | 101kB | 74.1kB | 114kB | 221kB,62361.6,226304.0,1,24-12-2025
1,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 993}",2910004,False,nomic-ai/nomic-embed-text-v1.5,[],2025-07-21T17:44:14.000Z,746,sentence-similarity,False,model,False,[],136731648.0,547MB | 158MB | 274MB | 137MB | 165MB | 111MB | 137MB | 137MB,116391936.0,573571072.0,2,24-12-2025
2,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 993}",828398,False,nomic-ai/nomic-embed-text-v1,[],2025-03-31T17:40:51.000Z,549,sentence-similarity,False,model,False,[],136731648.0,548MB | 138MB,144703488.0,574619648.0,3,24-12-2025
3,Alibaba-NLP,"{'_id': '661f98de142a51d630dbbcc4', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63fc4c00a3c067e62899d32b/dfd_EcIfylvu3sdc2WMqX.png', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 1440}",4294596,False,Alibaba-NLP/gte-large-en-v1.5,[],2024-08-09T03:32:05.000Z,234,sentence-similarity,False,model,False,[],434139136.0,1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,4,24-12-2025
4,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 663}",182309,False,Snowflake/snowflake-arctic-embed-m-v2.0,[],2025-04-24T17:37:05.000Z,96,sentence-similarity,False,model,False,,305368320.0,1.23GB | 837MB | 613MB | 311MB | 844MB | 450MB | 311MB | 311MB,326107136.0,1320702443.52,5,24-12-2025
5,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7357}",846620,False,Xenova/all-MiniLM-L6-v2,[],2025-07-22T16:42:24.000Z,93,feature-extraction,False,model,False,,,90.4MB | 53.9MB | 45.3MB | 23MB | 54.6MB | 30MB | 23MB | 22.8MB,23907532.8,94791270.4,6,24-12-2025
6,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 1536}",79295,False,jinaai/jina-embeddings-v2-base-code,[],2025-01-06T16:28:09.000Z,127,feature-extraction,False,model,False,,160869120.0,642MB | 321MB | 162MB,169869312.0,673185792.0,7,24-12-2025
7,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 663}",14210,False,Snowflake/snowflake-arctic-embed-l,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'Snowflake/snowflake-arctic-embed-l', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2024-12-19T13:32:48.000Z,99,sentence-similarity,False,model,False,[],334092288.0,1.34GB | 299MB | 669MB | 337MB | 318MB | 337MB | 337MB,313524224.0,1438814044.16,8,24-12-2025
8,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 1536}",4630,False,jinaai/jina-reranker-v1-tiny-en,[],2025-09-10T09:51:37.000Z,25,text-ranking,False,model,False,,33046273.0,132MB | 99.9MB | 66.3MB | 33.4MB | 101MB | 33.4MB | 33.4MB,35022438.4,138412032.0,9,24-12-2025
9,Snowflake,"{'_id': '62cece4aa3a23014aca72499', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64dc52cf858f8a41c12fc819/O9-MWzRjWzbNP_DQlMb-7.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'isEnterprise': True, 'plan': 'team', 'followerCount': 663}",174033,False,Snowflake/snowflake-arctic-embed-m-v1.5,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'Snowflake/snowflake-arctic-embed-m-v1.5', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-04-24T17:36:32.000Z,66,sentence-similarity,False,model,False,[],108891648.0,436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,10,24-12-2025
