,author,authorData,downloads,gated,id,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
0,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",9004897,False,nomic-ai/nomic-embed-text-v1.5,2024-06-05T15:03:49.000Z,242,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,1,24-06-2024
1,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'mixedbread ai', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1449479,False,mixedbread-ai/mxbai-embed-large-v1,2024-04-18T23:20:55.000Z,389,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,2,24-06-2024
2,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",850109,False,Alibaba-NLP/gte-large-en-v1.5,2024-04-26T13:51:26.000Z,109,sentence-similarity,False,model,False,1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,3,24-06-2024
3,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",966907,False,nomic-ai/nomic-embed-text-v1,2024-06-05T15:02:59.000Z,393,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,4,24-06-2024
4,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",221508,False,Alibaba-NLP/gte-base-en-v1.5,2024-04-26T13:53:41.000Z,21,sentence-similarity,False,model,False,556MB | 167MB | 278MB | 147MB | 174MB | 147MB | 147MB,154140672.0,583008256.0,5,24-06-2024
5,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",30775,False,Snowflake/snowflake-arctic-embed-m,2024-05-10T15:49:33.000Z,99,sentence-similarity,False,model,False,436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,6,24-06-2024
6,WhereIsAI,"{'avatarUrl': 'https://www.gravatar.com/avatar/e81bd32cb5ee88835824ad6b60d05697?d=retro&size=100', 'fullname': 'WhereIsAI', 'name': 'WhereIsAI', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",685169,False,WhereIsAI/UAE-Large-V1,2024-05-26T04:38:54.000Z,191,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,7,24-06-2024
7,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",31688,False,Snowflake/snowflake-arctic-embed-xs,2024-05-10T15:50:28.000Z,22,sentence-similarity,False,model,False,90.4MB | 53.9MB | 45.3MB | 23MB | 54.6MB | 23MB | 23MB,24117248.0,94791270.4,8,24-06-2024
8,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",22698,False,Snowflake/snowflake-arctic-embed-l,2024-05-10T15:51:18.000Z,73,sentence-similarity,False,model,False,1.34GB | 299MB | 669MB | 337MB | 318MB | 337MB | 337MB,313524224.0,1438814044.16,9,24-06-2024
9,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",85,False,Xenova/all-MiniLM-L6-v2,2024-03-12T03:11:08.000Z,42,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB | 23MB,24117248.0,94791270.4,10,24-06-2024
10,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",13,False,Xenova/multilingual-e5-large,2024-03-21T12:07:40.000Z,7,feature-extraction,False,model,False,546kB | 1.12GB | 562MB,559104.0,1202590842.88,11,24-06-2024
11,Supabase,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63267719ff539edeea96336a/I4961jNG67wvlqZP1swzQ.png', 'fullname': 'Supabase', 'name': 'Supabase', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",2092112,False,Supabase/gte-small,2024-03-18T18:02:53.000Z,52,feature-extraction,False,model,False,133MB | 66.7MB | 34MB,35651584.0,139460608.0,12,24-06-2024
12,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",3,False,Xenova/gte-small,2024-03-12T00:54:08.000Z,13,feature-extraction,False,model,False,133MB | 66.7MB | 34MB,35651584.0,139460608.0,13,24-06-2024
13,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",10195,False,jinaai/jina-embeddings-v2-base-code,2024-04-22T08:34:12.000Z,32,feature-extraction,False,model,False,642MB | 321MB | 162MB,169869312.0,673185792.0,14,24-06-2024
14,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",16143,False,jinaai/jina-embeddings-v2-base-zh,2024-06-14T03:07:15.000Z,131,feature-extraction,False,model,False,641MB | 321MB | 162MB,169869312.0,672137216.0,15,24-06-2024
