,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,sizes,min_size,max_size,trending,mined_date
0,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': True, 'followerCount': 196}",431065,False,nomic-ai/nomic-embed-text-v1.5,custom-code,2024-08-26T20:51:30.000Z,409,sentence-similarity,False,model,False,[],548MB | 138MB,144703488.0,574619648.0,1,05-11-2024
1,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 67}",3281704,False,mixedbread-ai/mxbai-embed-large-v1,cold,2024-10-28T08:32:06.000Z,532,feature-extraction,False,model,False,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,2,05-11-2024
2,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 284}",224425,False,Snowflake/snowflake-arctic-embed-m,cold,2024-08-20T18:13:09.000Z,133,sentence-similarity,False,model,False,[],436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,3,05-11-2024
3,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 82}",2738331,False,Alibaba-NLP/gte-large-en-v1.5,custom-code,2024-08-09T03:32:05.000Z,172,sentence-similarity,False,model,False,[],1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,4,05-11-2024
4,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 82}",235739,False,Alibaba-NLP/gte-base-en-v1.5,custom-code,2024-08-06T12:01:24.000Z,55,sentence-similarity,False,model,False,[],556MB | 167MB | 278MB | 147MB | 174MB | 147MB | 147MB,154140672.0,583008256.0,5,05-11-2024
5,Supabase,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63267719ff539edeea96336a/I4961jNG67wvlqZP1swzQ.png', 'fullname': 'Supabase', 'name': 'Supabase', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 21}",363642,False,Supabase/gte-small,pipeline-library-pair-not-supported,2024-03-18T18:02:53.000Z,66,feature-extraction,False,model,False,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,6,05-11-2024
6,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False, 'followerCount': 3629}",6013,False,Xenova/gte-small,pipeline-library-pair-not-supported,2024-10-08T13:29:22.000Z,14,feature-extraction,False,model,False,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,7,05-11-2024
7,ggrn,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63267719ff539edeea96336a/ASNS3IY6apkwOG3k5ev1I.png', 'fullname': 'Greg Richardson', 'name': 'ggrn', 'type': 'user', 'isPro': False, 'isHf': False, 'isMod': False, 'followerCount': 1}",25,False,ggrn/bge-small-en,pipeline-library-pair-not-supported,2024-04-26T16:38:15.000Z,2,feature-extraction,False,model,False,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,8,05-11-2024
8,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False, 'followerCount': 3629}",30,False,Xenova/LaBSE,pipeline-library-pair-not-supported,2024-10-08T13:41:13.000Z,1,feature-extraction,False,model,False,,1.88GB | 941MB | 472MB,494927872.0,2018634629.12,9,05-11-2024
9,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False, 'followerCount': 249}",39775,False,jinaai/jina-embeddings-v2-base-code,explicit-opt-out,2024-04-22T08:34:12.000Z,68,feature-extraction,False,model,False,,642MB | 321MB | 162MB,169869312.0,673185792.0,10,05-11-2024
