,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
0,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",253,False,mixedbread-ai/deepset-mxbai-embed-de-large-v1,NotPopularEnough,2024-07-19T08:12:17.000Z,17,feature-extraction,False,model,False,1.94GB | 907MB | 973MB | 488MB | 926MB | 539MB | 488MB | 488MB,511705088.0,2083059138.56,1,20-07-2024
1,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1457183,False,mixedbread-ai/mxbai-embed-large-v1,Cold,2024-07-18T14:21:25.000Z,420,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,2,20-07-2024
2,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",88,False,Snowflake/snowflake-arctic-embed-m-v1.5,NotPopularEnough,2024-07-19T22:18:37.000Z,10,sentence-similarity,False,model,False,436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,3,20-07-2024
3,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",21976,False,jinaai/jina-embeddings-v2-base-zh,NotSupported_ExplicitOptOut,2024-07-03T15:14:29.000Z,159,feature-extraction,False,model,False,641MB | 321MB | 162MB,169869312.0,672137216.0,4,20-07-2024
4,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",3622041,False,nomic-ai/nomic-embed-text-v1,CustomCode,2024-06-05T15:02:59.000Z,416,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,5,20-07-2024
5,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",616238,False,nomic-ai/nomic-embed-text-v1.5,CustomCode,2024-06-05T15:03:49.000Z,282,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,6,20-07-2024
6,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1898231,False,Alibaba-NLP/gte-large-en-v1.5,NotSupported_CustomCode,2024-04-26T13:51:26.000Z,131,sentence-similarity,False,model,False,1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,7,20-07-2024
7,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",83596,False,Alibaba-NLP/gte-base-en-v1.5,NotSupported_CustomCode,2024-04-26T13:53:41.000Z,33,sentence-similarity,False,model,False,556MB | 167MB | 278MB | 147MB | 174MB | 147MB | 147MB,154140672.0,583008256.0,8,20-07-2024
8,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",220074,False,Snowflake/snowflake-arctic-embed-m,NotPopularEnough,2024-05-10T15:49:33.000Z,107,sentence-similarity,False,model,False,436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,9,20-07-2024
9,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",41483,False,Xenova/all-MiniLM-L6-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T03:11:08.000Z,44,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB | 23MB,24117248.0,94791270.4,10,20-07-2024
10,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",1059,False,Xenova/bge-small-en-v1.5,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:51:27.000Z,9,feature-extraction,False,model,False,133MB | 66.7MB | 34MB,35651584.0,139460608.0,11,20-07-2024
11,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",21660,False,jinaai/jina-embeddings-v2-base-code,NotSupported_ExplicitOptOut,2024-04-22T08:34:12.000Z,38,feature-extraction,False,model,False,642MB | 321MB | 162MB,169869312.0,673185792.0,12,20-07-2024
12,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",30226,False,jinaai/jina-embeddings-v2-base-de,NotSupported_ExplicitOptOut,2024-07-03T15:13:25.000Z,60,feature-extraction,False,model,False,641MB | 321MB | 162MB,169869312.0,672137216.0,13,20-07-2024
13,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",10196,False,nomic-ai/nomic-embed-text-v1-unsupervised,ExplicitOptOut,2024-05-02T15:36:53.000Z,11,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,14,20-07-2024
14,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",22178,False,Snowflake/snowflake-arctic-embed-m-long,NotSupported_CustomCode,2024-05-10T15:50:08.000Z,30,sentence-similarity,False,model,False,548MB | 158MB | 274MB | 138MB | 165MB | 138MB | 138MB,144703488.0,574619648.0,15,20-07-2024
15,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",30499,False,Snowflake/snowflake-arctic-embed-l,NotPopularEnough,2024-05-10T15:51:18.000Z,76,sentence-similarity,False,model,False,1.34GB | 299MB | 669MB | 337MB | 318MB | 337MB | 337MB,313524224.0,1438814044.16,16,20-07-2024
16,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",9,False,Xenova/paraphrase-albert-small-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:05.000Z,0,feature-extraction,False,model,False,44.6MB | 22.4MB | 39.7MB,23488102.4,46766489.6,17,20-07-2024
17,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",11,False,Xenova/paraphrase-albert-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:10.000Z,0,feature-extraction,False,model,False,44.7MB | 22.7MB | 40MB,23802675.2,46871347.2,18,20-07-2024
18,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/squeezebert-uncased,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:18.000Z,0,feature-extraction,False,model,False,202MB | 101MB | 51.2MB,53687091.2,211812352.0,19,20-07-2024
19,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/squeezebert-mnli,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:25.000Z,0,feature-extraction,False,model,False,202MB | 101MB | 51.3MB,53791948.8,211812352.0,20,20-07-2024
20,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",14,False,Xenova/all-distilroberta-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:16:50.000Z,0,feature-extraction,False,model,False,326MB | 163MB | 82.1MB,86088089.6,341835776.0,21,20-07-2024
21,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",311,False,Xenova/paraphrase-multilingual-MiniLM-L12-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:21:35.000Z,8,feature-extraction,False,model,False,470MB | 235MB | 118MB,123731968.0,492830720.0,22,20-07-2024
22,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",18,False,Xenova/paraphrase-MiniLM-L6-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:21:47.000Z,0,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB,24117248.0,94791270.4,23,20-07-2024
23,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",528,False,Xenova/all-mpnet-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:17:18.000Z,1,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,24,20-07-2024
24,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/all-roberta-large-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:18:56.000Z,0,feature-extraction,False,model,False,1.42GB | 709MB | 357MB,374341632.0,1524713390.08,25,20-07-2024
25,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/bert-base-nli-mean-tokens,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:22:17.000Z,0,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,26,20-07-2024
26,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/distilbert-base-nli-mean-tokens,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:34.000Z,0,feature-extraction,False,model,False,266MB | 133MB | 66.9MB,70149734.4,278921216.0,27,20-07-2024
