,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,widgetOutputUrls,sizes,min_size,max_size,trending,mined_date
0,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",483357,False,nomic-ai/nomic-embed-text-v1.5,custom-code,2024-08-26T20:51:30.000Z,382,sentence-similarity,False,model,False,[],548MB | 138MB,144703488.0,574619648.0,1,11-10-2024
1,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",6246325,False,mixedbread-ai/mxbai-embed-large-v1,cold,2024-09-17T08:24:14.000Z,511,feature-extraction,False,model,False,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,2,11-10-2024
2,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",592608,False,nomic-ai/nomic-embed-text-v1,custom-code,2024-09-26T14:42:37.000Z,447,sentence-similarity,False,model,False,[],548MB | 138MB,144703488.0,574619648.0,3,11-10-2024
3,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",160321,False,Xenova/all-MiniLM-L6-v2,pipeline-library-pair-not-supported,2024-10-08T13:29:19.000Z,49,feature-extraction,False,model,False,,90.4MB | 45.3MB | 23MB | 23MB,24117248.0,94791270.4,4,11-10-2024
4,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5628,False,Xenova/gte-small,pipeline-library-pair-not-supported,2024-10-08T13:29:22.000Z,14,feature-extraction,False,model,False,,133MB | 66.7MB | 34MB,35651584.0,139460608.0,5,11-10-2024
5,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",49397,False,jinaai/jina-embeddings-v2-base-code,explicit-opt-out,2024-04-22T08:34:12.000Z,63,feature-extraction,False,model,False,,642MB | 321MB | 162MB,169869312.0,673185792.0,6,11-10-2024
6,WhereIsAI,"{'avatarUrl': 'https://www.gravatar.com/avatar/e81bd32cb5ee88835824ad6b60d05697?d=retro&size=100', 'fullname': 'WhereIsAI', 'name': 'WhereIsAI', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",714306,False,WhereIsAI/UAE-Large-V1,cold,2024-07-28T05:49:12.000Z,204,feature-extraction,False,model,False,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,7,11-10-2024
7,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",10980,False,jinaai/jina-embeddings-v2-base-zh,explicit-opt-out,2024-08-06T14:43:26.000Z,198,feature-extraction,False,model,False,,641MB | 321MB | 162MB,169869312.0,672137216.0,8,11-10-2024
8,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",24822,False,jinaai/jina-embeddings-v2-base-de,explicit-opt-out,2024-08-06T14:41:13.000Z,65,feature-extraction,False,model,False,,641MB | 321MB | 162MB,169869312.0,672137216.0,9,11-10-2024
9,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",37044,False,Snowflake/snowflake-arctic-embed-m,not-popular-enough,2024-08-20T18:13:09.000Z,128,sentence-similarity,False,model,False,[],436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,10,11-10-2024
