,author,authorData,downloads,gated,id,availableInferenceProviders,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,numParameters,widgetOutputUrls,sizes,min_size,max_size,trending,mined_date
0,mixedbread-ai,"{'_id': '6579b8e83db8c022afd86d63', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'Mixedbread', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 339, 'isUserFollowing': False}",1417460,False,mixedbread-ai/mxbai-embed-large-v1,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'mixedbread-ai/mxbai-embed-large-v1', 'task': 'feature-extraction', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2026-01-23T11:59:58.000Z,766,feature-extraction,False,model,False,335141888.0,,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,1,04-02-2026
1,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1609, 'isUserFollowing': False}",57197,False,jinaai/jina-clip-v2,[],2025-04-28T09:08:11.000Z,312,feature-extraction,False,model,False,865278476.0,,2.09MB | 1.38GB | 1.73GB | 874MB | 1.42GB | 861MB | 874MB | 874MB,2191523.84,1857573355.52,2,04-02-2026
2,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1609, 'isUserFollowing': False}",126251,False,jinaai/jina-embeddings-v2-base-code,[],2025-01-06T16:28:09.000Z,132,feature-extraction,False,model,False,160869120.0,,642MB | 321MB | 162MB,169869312.0,673185792.0,3,04-02-2026
3,MongoDB,"{'_id': '65aedc7d308fc2952b2e1ecb', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/65ae9f0d22762a684e5c87ad/OevwtsBsDoNbVcEnCa_Al.png', 'fullname': 'MongoDB', 'name': 'MongoDB', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 180, 'isUserFollowing': False}",15961,False,MongoDB/mdbr-leaf-ir,"[{'provider': 'hf-inference', 'modelStatus': 'live', 'providerStatus': 'live', 'providerId': 'MongoDB/mdbr-leaf-ir', 'task': 'sentence-similarity', 'isCheapestPricingOutput': False, 'isFastestThroughput': False, 'isModelAuthor': False}]",2025-09-29T23:58:02.000Z,60,sentence-similarity,False,model,False,22565376.0,[],60.9kB | 101kB | 74.1kB | 114kB | 221kB,62361.6,226304.0,4,04-02-2026
4,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7602, 'isUserFollowing': False}",12976,False,Xenova/distiluse-base-multilingual-cased-v2,[],2025-07-22T00:07:15.000Z,5,feature-extraction,False,model,False,,,539MB | 393MB | 270MB | 135MB | 396MB | 209MB | 135MB | 135MB,141557760.0,565182464.0,5,04-02-2026
5,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7602, 'isUserFollowing': False}",9824,False,Xenova/multilingual-e5-small,[],2025-07-22T00:03:05.000Z,9,feature-extraction,False,model,False,,,470MB | 397MB | 235MB | 118MB | 399MB | 205MB | 118MB | 118MB,123731968.0,492830720.0,6,04-02-2026
6,jinaai,"{'_id': '63563e0c2d14fcd7d83743cf', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/wD54VbAHHyHop3uYlJKl4.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'plan': 'team', 'followerCount': 1609, 'isUserFollowing': False}",803908,False,jinaai/jina-embeddings-v2-base-de,[],2025-01-06T16:26:47.000Z,82,feature-extraction,False,model,False,160813824.0,,641MB | 321MB | 162MB,169869312.0,672137216.0,7,04-02-2026
7,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1029, 'isUserFollowing': False}",1608907,False,nomic-ai/nomic-embed-text-v1,[],2025-03-31T17:40:51.000Z,551,sentence-similarity,False,model,False,136731648.0,[],548MB | 138MB,144703488.0,574619648.0,8,04-02-2026
8,Xenova,"{'_id': '61b253b7ac5ecaae3d1efe0c', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isHfAdmin': False, 'isMod': False, 'followerCount': 7602, 'isUserFollowing': False}",33912,False,Xenova/bge-m3,[],2025-07-22T16:56:28.000Z,40,feature-extraction,False,model,False,,,607kB | 1.23GB | 1.13GB | 568MB | 1.25GB | 700MB | 570MB | 568MB,621568.0,1342177280.0,9,04-02-2026
9,nomic-ai,"{'_id': '641f0267863b87326f467c42', 'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isHfAdmin': False, 'isMod': False, 'followerCount': 1029, 'isUserFollowing': False}",3702350,False,nomic-ai/nomic-embed-text-v1.5,[],2025-07-21T17:44:14.000Z,766,sentence-similarity,False,model,False,136731648.0,[],547MB | 158MB | 274MB | 137MB | 165MB | 111MB | 137MB | 137MB,116391936.0,573571072.0,10,04-02-2026
