,author,authorData,downloads,gated,id,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
13,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",10,False,Xenova/multilingual-e5-large,2024-03-21T12:07:40.000Z,6,feature-extraction,False,model,False,546kB | 1.12GB | 562MB,559104.0,1202590842.88,14,24-05-2024
14,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'mixedbread ai', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isEnterprise': False}",9614,False,mixedbread-ai/mxbai-embed-2d-large-v1,2024-04-04T21:36:56.000Z,30,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,15,24-05-2024
15,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isEnterprise': False}",16237,False,Snowflake/snowflake-arctic-embed-m-long,2024-05-10T15:50:08.000Z,26,sentence-similarity,False,model,False,548MB | 158MB | 274MB | 138MB | 165MB | 138MB | 138MB,144703488.0,574619648.0,16,24-05-2024
16,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",187,False,Xenova/all-MiniLM-L6-v2,2024-03-12T03:11:08.000Z,39,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB | 23MB,24117248.0,94791270.4,17,24-05-2024
17,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",17,False,Xenova/paraphrase-albert-small-v2,2024-03-21T12:03:05.000Z,0,feature-extraction,False,model,False,44.6MB | 22.4MB | 39.7MB,23488102.4,46766489.6,18,24-05-2024
18,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",18,False,Xenova/paraphrase-albert-base-v2,2024-03-21T12:03:10.000Z,0,feature-extraction,False,model,False,44.7MB | 22.7MB | 40MB,23802675.2,46871347.2,19,24-05-2024
19,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",8,False,Xenova/squeezebert-uncased,2024-03-21T12:03:18.000Z,0,feature-extraction,False,model,False,202MB | 101MB | 51.2MB,53687091.2,211812352.0,20,24-05-2024
20,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",16,False,Xenova/squeezebert-mnli,2024-03-21T12:03:25.000Z,0,feature-extraction,False,model,False,202MB | 101MB | 51.3MB,53791948.8,211812352.0,21,24-05-2024
21,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",8,False,Xenova/all-distilroberta-v1,2024-03-15T03:16:50.000Z,0,feature-extraction,False,model,False,326MB | 163MB | 82.1MB,86088089.6,341835776.0,22,24-05-2024
22,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",7,False,Xenova/paraphrase-MiniLM-L6-v2,2024-03-12T01:21:47.000Z,0,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB,24117248.0,94791270.4,23,24-05-2024
